id,name,basic,rare,legendary,franchise,normalStory,rareStory,legendaryStory
1,Hakos Baelz,baelz_normal.jpg,baelz_rare.jpg,baelz_legendary.jpg,Hololive,,,
2,Mori Calliope,calliope_normal.jpg,calliope_rare.jpg,calliope_legendary.jpg,Hololive,,,
3,Takanashi Kiara,kiara_normal.jpg,kiara_rare.jpg,kiara_legendary.jpg,Hololive,,,
4,Ouro Kronii,kronii_normal.jpg,kronii_rare.jpg,kronii_legendary.jpg,Hololive,,,
5,IRyS,irys_normal.jpg,irys_rare.jpg,irys_legendary.jpg,Hololive,,,
6,Shiori Novella,shiori_normal.jpg,shiori_rare.jpg,shiori_legendary.jpg,Hololive,,,
7,Raora Panthera,raora_normal.jpg,raora_rare.jpg,raora_legendary.jpg,Hololive,,,
8,Hoshimachi Suisei,suisei_normal.jpg,suisei_rare.jpg,suisei_legendary.jpg,Hololive,,,
9,Houshou Marine,marine_normal.jpg,marine_rare.jpg,marine_legendary.jpg,Hololive,,,
10,Nekomata Okayu,okayu_normal.jpg,okayu_rare.jpg,okayu_legendary.jpg,Hololive,,,
11,Shiranui Flare,flare_normal.jpg,flare_rare.jpg,flare_legendary.jpg,Hololive,,,
12,Kaela Kovalskia,kaela_normal.jpg,kaela_rare.jpg,kaela_legendary.jpg,Hololive,,,
13,Oozora Subaru,subaru_normal.jpg,subaru_rare.jpg,subaru_legendary.jpg,Hololive,,,
14,Nakiri Ayame,ayame_normal.jpg,ayame_rare.jpg,ayame_legendary.jpg,Hololive,,,
15,Inugami Korone,korone_normal.jpg,korone_rare.jpg,korone_legendary.jpg,Hololive,,,
16,Tokoyami Towa,towa_normal.jpg,towa_rare.jpg,towa_legendary.jpg,Hololive,,,
17,Shishiro Botan,botan_normal.jpg,botan_rare.jpg,botan_legendary.jpg,Hololive,,,
18,Omaru Polka,omaru_normal.jpg,omaru_rare.jpg,omaru_legendary.jpg,Hololive,,,
19,Takane Lui,lui_normal.jpg,lui_rare.jpg,lui_legendary.jpg,Hololive,,,
20,Hakui Koyori,koyori_normal.jpg,koyori_rare.jpg,koyori_legendary.jpg,Hololive,,,
21,Kazuma Iroha,iroha_normal.jpg,iroha_rare.jpg,iroha_legendary.jpg,Hololive,,,
